date,value
2002-01-08,1.6100
2002-01-09,1.7400
2002-01-10,1.8100
2002-01-11,1.7100
2002-01-12,1.7100
2002-01-13,1.7100
2002-01-14,1.7800
2002-01-15,1.7500
2002-01-16,1.6900
2002-01-17,1.6800
2002-01-18,1.7100
2002-01-19,1.7100
2002-01-20,1.7100
2002-01-21,1.7100
2002-01-22,1.8400
2002-01-23,1.8100
2002-01-24,1.8000
2002-01-25,1.7800
2002-01-26,1.7800
2002-01-27,1.7800
2002-01-28,1.7900
2002-01-29,1.7800
2002-01-30,1.7800
2002-01-31,1.8500
2002-02-01,1.7700
2002-02-02,1.7700
2002-02-03,1.7700
2002-02-04,1.7400
2002-02-05,1.6400
2002-02-06,1.6600
2002-02-07,1.7400
2002-02-08,1.6900
2002-02-09,1.6900
2002-02-10,1.6900
2002-02-11,1.7600
2002-02-12,1.7200
2002-02-13,1.7500
2002-02-14,1.8100
2002-02-15,1.7300
2002-02-16,1.7300
2002-02-17,1.7300
2002-02-18,1.7300
2002-02-19,1.7700
2002-02-20,1.7600
2002-02-21,1.7700
2002-02-22,1.7100
2002-02-23,1.7100
2002-02-24,1.7100
2002-02-25,1.8000
2002-02-26,1.7700
2002-02-27,1.7600
2002-02-28,1.8300
2002-03-01,1.7800
2002-03-02,1.7800
2002-03-03,1.7800
2002-03-04,1.6800
2002-03-05,1.6300
2002-03-06,1.7100
2002-03-07,1.7700
2002-03-08,1.6900
2002-03-09,1.6900
2002-03-10,1.6900
2002-03-11,1.7500
2002-03-12,1.6800
2002-03-13,1.7300
2002-03-14,1.7900
2002-03-15,1.8000
2002-03-16,1.8000
2002-03-17,1.8000
2002-03-18,1.7100
2002-03-19,1.6700
2002-03-20,1.7800
2002-03-21,1.7400
2002-03-22,1.6800
2002-03-23,1.6800
2002-03-24,1.6800
2002-03-25,1.7500
2002-03-26,1.7100
2002-03-27,1.6900
2002-03-28,1.7700
2002-03-29,1.7400
2002-03-30,1.7400
2002-03-31,1.7400
2002-04-01,1.8800
2002-04-02,1.7400
2002-04-03,1.8100
2002-04-04,1.7400
2002-04-05,1.7000
2002-04-06,1.7000
2002-04-07,1.7000
2002-04-08,1.7200
2002-04-09,1.6800
2002-04-10,1.7300
2002-04-11,1.8300
2002-04-12,1.7900
2002-04-13,1.7900
2002-04-14,1.7900
2002-04-15,1.8400
2002-04-16,1.6800
2002-04-17,1.7300
2002-04-18,1.7100
2002-04-19,1.6700
2002-04-20,1.6700
2002-04-21,1.6700
2002-04-22,1.7300
2002-04-23,1.7100
2002-04-24,1.7600
2002-04-25,1.8200
2002-04-26,1.7900
2002-04-27,1.7900
2002-04-28,1.7900
2002-04-29,1.8100
2002-04-30,1.8200
2002-05-01,1.8800
2002-05-02,1.7900
2002-05-03,1.7300
2002-05-04,1.7300
2002-05-05,1.7300
2002-05-06,1.7500
2002-05-07,1.7200
2002-05-08,1.7100
2002-05-09,1.7400
2002-05-10,1.7400
2002-05-11,1.7400
2002-05-12,1.7400
2002-05-13,1.7500
2002-05-14,1.6900
2002-05-15,1.8400
2002-05-16,1.7600
2002-05-17,1.7000
2002-05-18,1.7000
2002-05-19,1.7000
2002-05-20,1.7200
2002-05-21,1.6800
2002-05-22,1.7300
2002-05-23,1.7600
2002-05-24,1.7500
2002-05-25,1.7500
2002-05-26,1.7500
2002-05-27,1.7500
2002-05-28,1.8800
2002-05-29,1.7900
2002-05-30,1.8000
2002-05-31,1.7900
2002-06-01,1.7900
2002-06-02,1.7900
2002-06-03,1.8300
2002-06-04,1.7300
2002-06-05,1.7000
2002-06-06,1.7500
2002-06-07,1.7300
2002-06-08,1.7300
2002-06-09,1.7300
2002-06-10,1.7600
2002-06-11,1.7200
2002-06-12,1.7500
2002-06-13,1.7600
2002-06-14,1.7500
2002-06-15,1.7500
2002-06-16,1.7500
2002-06-17,1.8200
2002-06-18,1.7100
2002-06-19,1.6900
2002-06-20,1.7500
2002-06-21,1.7400
2002-06-22,1.7400
2002-06-23,1.7400
2002-06-24,1.7700
2002-06-25,1.7500
2002-06-26,1.7800
2002-06-27,1.8100
2002-06-28,1.7300
2002-06-29,1.7300
2002-06-30,1.7300
2002-07-01,1.8300
2002-07-02,1.7200
2002-07-03,1.7100
2002-07-04,1.7100
2002-07-05,1.7200
2002-07-06,1.7200
2002-07-07,1.7200
2002-07-08,1.7500
2002-07-09,1.7200
2002-07-10,1.7400
2002-07-11,1.7600
2002-07-12,1.7100
2002-07-13,1.7100
2002-07-14,1.7100
2002-07-15,1.8300
2002-07-16,1.7200
2002-07-17,1.7100
2002-07-18,1.7400
2002-07-19,1.7200
2002-07-20,1.7200
2002-07-21,1.7200
2002-07-22,1.7700
2002-07-23,1.7300
2002-07-24,1.6700
2002-07-25,1.7500
2002-07-26,1.6900
2002-07-27,1.6900
2002-07-28,1.6900
2002-07-29,1.7500
2002-07-30,1.7100
2002-07-31,1.7600
2002-08-01,1.7900
2002-08-02,1.7200
2002-08-03,1.7200
2002-08-04,1.7200
2002-08-05,1.7700
2002-08-06,1.7400
2002-08-07,1.7100
2002-08-08,1.7100
2002-08-09,1.6800
2002-08-10,1.6800
2002-08-11,1.6800
2002-08-12,1.7600
2002-08-13,1.7400
2002-08-14,1.7800
2002-08-15,1.8700
2002-08-16,1.7000
2002-08-17,1.7000
2002-08-18,1.7000
2002-08-19,1.7200
2002-08-20,1.7000
2002-08-21,1.7200
2002-08-22,1.7300
2002-08-23,1.7200
2002-08-24,1.7200
2002-08-25,1.7200
2002-08-26,1.8100
2002-08-27,1.7900
2002-08-28,1.8000
2002-08-29,1.8200
2002-08-30,1.8100
2002-08-31,1.8100
2002-09-01,1.8100
2002-09-02,1.8100
2002-09-03,1.8700
2002-09-04,1.7400
2002-09-05,1.7500
2002-09-06,1.7100
2002-09-07,1.7100
2002-09-08,1.7100
2002-09-09,1.7600
2002-09-10,1.7400
2002-09-11,1.7200
2002-09-12,1.7400
2002-09-13,1.7200
2002-09-14,1.7200
2002-09-15,1.7200
2002-09-16,1.8300
2002-09-17,1.7200
2002-09-18,1.6800
2002-09-19,1.6900
2002-09-20,1.7000
2002-09-21,1.7000
2002-09-22,1.7000
2002-09-23,1.7400
2002-09-24,1.7500
2002-09-25,1.7900
2002-09-26,1.8000
2002-09-27,1.7800
2002-09-28,1.7800
2002-09-29,1.7800
2002-09-30,1.8500
2002-10-01,1.8500
2002-10-02,1.7500
2002-10-03,1.7600
2002-10-04,1.7200
2002-10-05,1.7200
2002-10-06,1.7200
2002-10-07,1.7400
2002-10-08,1.7200
2002-10-09,1.7300
2002-10-10,1.7500
2002-10-11,1.7300
2002-10-12,1.7300
2002-10-13,1.7300
2002-10-14,1.7300
2002-10-15,1.8800
2002-10-16,1.7300
2002-10-17,1.7400
2002-10-18,1.7100
2002-10-19,1.7100
2002-10-20,1.7100
2002-10-21,1.7300
2002-10-22,1.7100
2002-10-23,1.7600
2002-10-24,1.8000
2002-10-25,1.8200
2002-10-26,1.8200
2002-10-27,1.8200
2002-10-28,1.7900
2002-10-29,1.7500
2002-10-30,1.7200
2002-10-31,1.8200
2002-11-01,1.7400
2002-11-02,1.7400
2002-11-03,1.7400
2002-11-04,1.7100
2002-11-05,1.6400
2002-11-06,1.4800
2002-11-07,1.2700
2002-11-08,1.1800
2002-11-09,1.1800
2002-11-10,1.1800
2002-11-11,1.1800
2002-11-12,1.2900
2002-11-13,1.1700
2002-11-14,1.2900
2002-11-15,1.3500
2002-11-16,1.3500
2002-11-17,1.3500
2002-11-18,1.2100
2002-11-19,1.2000
2002-11-20,1.2300
2002-11-21,1.2700
2002-11-22,1.2500
2002-11-23,1.2500
2002-11-24,1.2500
2002-11-25,1.3200
2002-11-26,1.2600
2002-11-27,1.2700
2002-11-28,1.2700
2002-11-29,1.2300
2002-11-30,1.2300
2002-12-01,1.2300
2002-12-02,1.2700
2002-12-03,1.2400
2002-12-04,1.2300
2002-12-05,1.2400
2002-12-06,1.2100
2002-12-07,1.2100
2002-12-08,1.2100
2002-12-09,1.2200
2002-12-10,1.2200
2002-12-11,1.2900
2002-12-12,1.2900
2002-12-13,1.2500
2002-12-14,1.2500
2002-12-15,1.2500
2002-12-16,1.3600
2002-12-17,1.2600
2002-12-18,1.2500
2002-12-19,1.2800
2002-12-20,1.2600
2002-12-21,1.2600
2002-12-22,1.2600
2002-12-23,1.2800
2002-12-24,1.1500
2002-12-25,1.1500
2002-12-26,1.2800
2002-12-27,1.2000
2002-12-28,1.2000
2002-12-29,1.2000
2002-12-30,1.2300
2002-12-31,1.1600
2003-01-01,1.1600
2003-01-02,1.3000
2003-01-03,1.1200
2003-01-04,1.1200
2003-01-05,1.1200
2003-01-06,1.2200
2003-01-07,1.2000
2003-01-08,1.2900
2003-01-09,1.2900
2003-01-10,1.2500
2003-01-11,1.2500
2003-01-12,1.2500
2003-01-13,1.2600
2003-01-14,1.2400
2003-01-15,1.3000
2003-01-16,1.2400
2003-01-17,1.2000
2003-01-18,1.2000
2003-01-19,1.2000
2003-01-20,1.2000
2003-01-21,1.3100
2003-01-22,1.2600
2003-01-23,1.2700
2003-01-24,1.2100
2003-01-25,1.2100
2003-01-26,1.2100
2003-01-27,1.3000
2003-01-28,1.2300
2003-01-29,1.2600
2003-01-30,1.2900
2003-01-31,1.3300
2003-02-01,1.3300
2003-02-02,1.3300
2003-02-03,1.3000
2003-02-04,1.2100
2003-02-05,1.2100
2003-02-06,1.2300
2003-02-07,1.2100
2003-02-08,1.2100
2003-02-09,1.2100
2003-02-10,1.2500
2003-02-11,1.2200
2003-02-12,1.2300
2003-02-13,1.2800
2003-02-14,1.3000
2003-02-15,1.3000
2003-02-16,1.3000
2003-02-17,1.3000
2003-02-18,1.3500
2003-02-19,1.2400
2003-02-20,1.2500
2003-02-21,1.2100
2003-02-22,1.2100
2003-02-23,1.2100
2003-02-24,1.2500
2003-02-25,1.2800
2003-02-26,1.2800
2003-02-27,1.3100
2003-02-28,1.3300
2003-03-01,1.3300
2003-03-02,1.3300
2003-03-03,1.3300
2003-03-04,1.2000
2003-03-05,1.2200
2003-03-06,1.2300
2003-03-07,1.2000
2003-03-08,1.2000
2003-03-09,1.2000
2003-03-10,1.2300
2003-03-11,1.2100
2003-03-12,1.2300
2003-03-13,1.3100
2003-03-14,1.3000
2003-03-15,1.3000
2003-03-16,1.3000
2003-03-17,1.3100
2003-03-18,1.2000
2003-03-19,1.2000
2003-03-20,1.2300
2003-03-21,1.2000
2003-03-22,1.2000
2003-03-23,1.2000
2003-03-24,1.2300
2003-03-25,1.2400
2003-03-26,1.2600
2003-03-27,1.2900
2003-03-28,1.2600
2003-03-29,1.2600
2003-03-30,1.2600
2003-03-31,1.3800
2003-04-01,1.2900
2003-04-02,1.1900
2003-04-03,1.2400
2003-04-04,1.2200
2003-04-05,1.2200
2003-04-06,1.2200
2003-04-07,1.2500
2003-04-08,1.2200
2003-04-09,1.2400
2003-04-10,1.2700
2003-04-11,1.2400
2003-04-12,1.2400
2003-04-13,1.2400
2003-04-14,1.3200
2003-04-15,1.3400
2003-04-16,1.2600
2003-04-17,1.2800
2003-04-18,1.2400
2003-04-19,1.2400
2003-04-20,1.2400
2003-04-21,1.2900
2003-04-22,1.2600
2003-04-23,1.2400
2003-04-24,1.2400
2003-04-25,1.2800
2003-04-26,1.2800
2003-04-27,1.2800
2003-04-28,1.2900
2003-04-29,1.2700
2003-04-30,1.3100
2003-05-01,1.3000
2003-05-02,1.2400
2003-05-03,1.2400
2003-05-04,1.2400
2003-05-05,1.2700
2003-05-06,1.2800
2003-05-07,1.2800
2003-05-08,1.2700
2003-05-09,1.2400
2003-05-10,1.2400
2003-05-11,1.2400
2003-05-12,1.2500
2003-05-13,1.2300
2003-05-14,1.3000
2003-05-15,1.3600
2003-05-16,1.2600
2003-05-17,1.2600
2003-05-18,1.2600
2003-05-19,1.2600
2003-05-20,1.2300
2003-05-21,1.2300
2003-05-22,1.2500
2003-05-23,1.2100
2003-05-24,1.2100
2003-05-25,1.2100
2003-05-26,1.2100
2003-05-27,1.3200
2003-05-28,1.2900
2003-05-29,1.2900
2003-05-30,1.2800
2003-05-31,1.2800
2003-06-01,1.2800
2003-06-02,1.2700
2003-06-03,1.2100
2003-06-04,1.2200
2003-06-05,1.2600
2003-06-06,1.2400
2003-06-07,1.2400
2003-06-08,1.2400
2003-06-09,1.2500
2003-06-10,1.2200
2003-06-11,1.2500
2003-06-12,1.2500
2003-06-13,1.2400
2003-06-14,1.2400
2003-06-15,1.2400
2003-06-16,1.3300
2003-06-17,1.2400
2003-06-18,1.2200
2003-06-19,1.2200
2003-06-20,1.2300
2003-06-21,1.2300
2003-06-22,1.2300
2003-06-23,1.2100
2003-06-24,1.1500
2003-06-25,1.1800
2003-06-26,1.1000
2003-06-27,1.0800
2003-06-28,1.0800
2003-06-29,1.0800
2003-06-30,1.4500
2003-07-01,1.1100
2003-07-02,1.0100
2003-07-03,0.9600
2003-07-04,0.9600
2003-07-05,0.9600
2003-07-06,0.9600
2003-07-07,1.0000
2003-07-08,0.9300
2003-07-09,0.9600
2003-07-10,1.0000
2003-07-11,0.9800
2003-07-12,0.9800
2003-07-13,0.9800
2003-07-14,1.0700
2003-07-15,1.1300
2003-07-16,1.0100
2003-07-17,1.0200
2003-07-18,0.9900
2003-07-19,0.9900
2003-07-20,0.9900
2003-07-21,1.0200
2003-07-22,1.0000
2003-07-23,1.0500
2003-07-24,1.0400
2003-07-25,1.0300
2003-07-26,1.0300
2003-07-27,1.0300
2003-07-28,1.0500
2003-07-29,1.0400
2003-07-30,1.0300
2003-07-31,1.0400
2003-08-01,1.0000
2003-08-02,1.0000
2003-08-03,1.0000
2003-08-04,1.0000
2003-08-05,0.8600
2003-08-06,0.8800
2003-08-07,0.9500
2003-08-08,0.9600
2003-08-09,0.9600
2003-08-10,0.9600
2003-08-11,1.0200
2003-08-12,0.9900
2003-08-13,1.0100
2003-08-14,1.2200
2003-08-15,1.3900
2003-08-16,1.3900
2003-08-17,1.3900
2003-08-18,1.0300
2003-08-19,0.9300
2003-08-20,0.8900
2003-08-21,1.0100
2003-08-22,0.9900
2003-08-23,0.9900
2003-08-24,0.9900
2003-08-25,1.0400
2003-08-26,1.0000
2003-08-27,0.9800
2003-08-28,1.0400
2003-08-29,1.0100
2003-08-30,1.0100
2003-08-31,1.0100
2003-09-01,1.0100
2003-09-02,1.0600
2003-09-03,0.9600
2003-09-04,0.9800
2003-09-05,0.9600
2003-09-06,0.9600
2003-09-07,0.9600
2003-09-08,0.9900
2003-09-09,0.9500
2003-09-10,0.9500
2003-09-11,1.0000
2003-09-12,1.0200
2003-09-13,1.0200
2003-09-14,1.0200
2003-09-15,1.1100
2003-09-16,0.9700
2003-09-17,0.9700
2003-09-18,1.0000
2003-09-19,0.9900
2003-09-20,0.9900
2003-09-21,0.9900
2003-09-22,1.0200
2003-09-23,1.0100
2003-09-24,1.0300
2003-09-25,1.0800
2003-09-26,1.0300
2003-09-27,1.0300
2003-09-28,1.0300
2003-09-29,1.0400
2003-09-30,1.1700
2003-10-01,1.1100
2003-10-02,1.0200
2003-10-03,0.9900
2003-10-04,0.9900
2003-10-05,0.9900
2003-10-06,0.9900
2003-10-07,0.9800
2003-10-08,0.9900
2003-10-09,1.0200
2003-10-10,1.0000
2003-10-11,1.0000
2003-10-12,1.0000
2003-10-13,1.0000
2003-10-14,1.0800
2003-10-15,1.0900
2003-10-16,1.0400
2003-10-17,0.9800
2003-10-18,0.9800
2003-10-19,0.9800
2003-10-20,1.0200
2003-10-21,0.9900
2003-10-22,0.9900
2003-10-23,1.0200
2003-10-24,1.0100
2003-10-25,1.0100
2003-10-26,1.0100
2003-10-27,1.0300
2003-10-28,0.9800
2003-10-29,0.9700
2003-10-30,1.0200
2003-10-31,1.0300
2003-11-01,1.0300
2003-11-02,1.0300
2003-11-03,1.0200
2003-11-04,0.9800
2003-11-05,0.9800
2003-11-06,1.0000
2003-11-07,0.9800
2003-11-08,0.9800
2003-11-09,0.9800
2003-11-10,0.9900
2003-11-11,0.9900
2003-11-12,1.0000
2003-11-13,0.9900
2003-11-14,0.9800
2003-11-15,0.9800
2003-11-16,0.9800
2003-11-17,1.0400
2003-11-18,0.9800
2003-11-19,0.9800
2003-11-20,1.0000
2003-11-21,0.9800
2003-11-22,0.9800
2003-11-23,0.9800
2003-11-24,0.9800
2003-11-25,1.0200
2003-11-26,1.0100
2003-11-27,1.0100
2003-11-28,1.0100
2003-11-29,1.0100
2003-11-30,1.0100
2003-12-01,1.0300
2003-12-02,0.9700
2003-12-03,0.9800
2003-12-04,0.9900
2003-12-05,0.9800
2003-12-06,0.9800
2003-12-07,0.9800
2003-12-08,0.9900
2003-12-09,0.9700
2003-12-10,0.9900
2003-12-11,0.9900
2003-12-12,0.9900
2003-12-13,0.9900
2003-12-14,0.9900
2003-12-15,1.0400
2003-12-16,0.9900
2003-12-17,0.9900
2003-12-18,1.0100
2003-12-19,0.9800
2003-12-20,0.9800
2003-12-21,0.9800
2003-12-22,1.0200
2003-12-23,1.0000
2003-12-24,0.9700
2003-12-25,0.9700
2003-12-26,0.9700
2003-12-27,0.9700
2003-12-28,0.9700
2003-12-29,0.9800
2003-12-30,0.9300
2003-12-31,0.9400
2004-01-01,0.9400
2004-01-02,1.0100
2004-01-03,1.0100
2004-01-04,1.0100
2004-01-05,0.9700
2004-01-06,0.9200
2004-01-07,0.9400
2004-01-08,0.9900
2004-01-09,0.9900
2004-01-10,0.9900
2004-01-11,0.9900
2004-01-12,1.0000
2004-01-13,0.9900
2004-01-14,1.0100
2004-01-15,1.0400
2004-01-16,0.9800
2004-01-17,0.9800
2004-01-18,0.9800
2004-01-19,0.9800
2004-01-20,1.0200
2004-01-21,1.0000
2004-01-22,1.0200
2004-01-23,1.0000
2004-01-24,1.0000
2004-01-25,1.0000
2004-01-26,1.0800
2004-01-27,1.0200
2004-01-28,0.9900
2004-01-29,1.0000
2004-01-30,1.0300
2004-01-31,1.0300
2004-02-01,1.0300
2004-02-02,1.0100
2004-02-03,0.9700
2004-02-04,1.0000
2004-02-05,1.0100
2004-02-06,0.9900
2004-02-07,0.9900
2004-02-08,0.9900
2004-02-09,1.0100
2004-02-10,1.0000
2004-02-11,1.0000
2004-02-12,1.0200
2004-02-13,1.0100
2004-02-14,1.0100
2004-02-15,1.0100
2004-02-16,1.0100
2004-02-17,1.0200
2004-02-18,1.0000
2004-02-19,1.0000
2004-02-20,0.9900
2004-02-21,0.9900
2004-02-22,0.9900
2004-02-23,1.0000
2004-02-24,0.9900
2004-02-25,1.0200
2004-02-26,1.0300
2004-02-27,1.0400
2004-02-28,1.0400
2004-02-29,1.0400
2004-03-01,1.0400
2004-03-02,1.0000
2004-03-03,1.0000
2004-03-04,0.9900
2004-03-05,1.0000
2004-03-06,1.0000
2004-03-07,1.0000
2004-03-08,1.0000
2004-03-09,0.9900
2004-03-10,1.0000
2004-03-11,1.0100
